date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:04:12	112/112	---M--	200	added ('OK')	text/plain	date:Thu,%2011%20Feb%202016%2009:04:12%20GMT	http://mormonthink.com/robots.txt		(from )
04:04:13	21492/21492	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:13%20GMT	http://mormonthink.com/	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/index.html	(from )
04:04:14	12540/12540	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:13%20GMT	http://mormonthink.com/foreign.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/foreign.html	(from http://mormonthink.com/)
04:04:14	14501/14501	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:14%20GMT	http://mormonthink.com/donations.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/donations.html	(from http://mormonthink.com/)
04:04:17	261522/261522	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:14%20GMT	http://mormonthink.com/transbomweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/transbomweb.html	(from http://mormonthink.com/)
04:04:21	574865/574865	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:15%20GMT	http://mormonthink.com/book-of-mormon-problems.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/book-of-mormon-problems.html	(from http://mormonthink.com/)
04:04:21	49593/49593	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:17%20GMT	http://mormonthink.com/lost116web.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/lost116web.html	(from http://mormonthink.com/)
04:04:25	261543/261543	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:19%20GMT	http://mormonthink.com/josephweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/josephweb.html	(from http://mormonthink.com/)
04:04:27	281607/281607	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:23%20GMT	http://mormonthink.com/witnessesweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/witnessesweb.html	(from http://mormonthink.com/)
04:04:28	166104/166104	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:26%20GMT	http://mormonthink.com/influences.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/influences.html	(from http://mormonthink.com/)
04:04:30	16529/16529	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:28%20GMT	http://mormonthink.com/mormonstudies.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/mormonstudies.html	(from http://mormonthink.com/)
04:04:31	106317/106317	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:30%20GMT	http://mormonthink.com/moroniweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/moroniweb.html	(from http://mormonthink.com/)
04:04:33	196247/196247	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:30%20GMT	http://mormonthink.com/firstvisionweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/firstvisionweb.html	(from http://mormonthink.com/)
04:04:34	344684/344684	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:31%20GMT	http://mormonthink.com/book-of-abraham-issues.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/book-of-abraham-issues.html	(from http://mormonthink.com/)
04:04:35	127708/127708	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:34%20GMT	http://mormonthink.com/kinderhookweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/kinderhookweb.html	(from http://mormonthink.com/)
04:04:37	73561/73561	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:35%20GMT	http://mormonthink.com/jst.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/jst.html	(from http://mormonthink.com/)
04:04:39	71689/71689	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:37%20GMT	http://mormonthink.com/zelph.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/zelph.html	(from http://mormonthink.com/)
04:04:41	45103/45103	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:39%20GMT	http://mormonthink.com/nephiweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/nephiweb.html	(from http://mormonthink.com/)
04:04:42	37758/37758	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:41%20GMT	http://mormonthink.com/runningweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/runningweb.html	(from http://mormonthink.com/)
04:04:47	405527/405527	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:42%20GMT	http://mormonthink.com/joseph-smith-polygamy.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/joseph-smith-polygamy.html	(from http://mormonthink.com/)
04:04:47	177777/177777	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:43%20GMT	http://mormonthink.com/blackweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/blackweb.html	(from http://mormonthink.com/)
04:04:49	206207/206207	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:46%20GMT	http://mormonthink.com/prophetsweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/prophetsweb.html	(from http://mormonthink.com/)
04:04:51	44562/44562	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:49%20GMT	http://mormonthink.com/greekweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/greekweb.html	(from http://mormonthink.com/)
04:04:53	30842/30842	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:51%20GMT	http://mormonthink.com/nameweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/nameweb.html	(from http://mormonthink.com/)
04:04:54	76496/76496	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:53%20GMT	http://mormonthink.com/priesthood.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/priesthood.html	(from http://mormonthink.com/)
04:04:55	45309/45309	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:53%20GMT	http://mormonthink.com/rodofaaron.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/rodofaaron.html	(from http://mormonthink.com/)
04:05:01	284243/284243	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:55%20GMT	http://mormonthink.com/scienceweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/scienceweb.html	(from http://mormonthink.com/)
04:05:01	146301/146301	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:04:57%20GMT	http://mormonthink.com/tithing.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/tithing.html	(from http://mormonthink.com/)
